key,name,max.round,pct.first.serve.in,aces,double.faults,unforced.errors,1st.serve.win.pct,2nd.serve.win.pct,winners,receiving.pts.won,break.point.conv,net.approaches,total.points.won,fastest.serve.speed,ave.1st.serve.speed,ave.2nd.serve.speed,sets.played,tie.breaks.played,total.games,return.games.won,server.points.won,tournament,SPW.by.TG,RGW.by.TG,W.by.UE
atpq927,Sam Querrey,3,67,14.33333333,2,30,76.33333333,52.66666667,38.66666667,31.66666667,29.66666667,61.66666667,94,132.1448993,117.439119,94.86263933,3,1,30.33333333,2,63.66666667,AUS.2013,2.098901099,0.065934066,1.243176216
atps694,Radek Stepanek,3,69,6.666666667,4.666666667,20,71,48.33333333,20,35,31.33333333,56.5,116.6666667,123.9635145,113.710893,94.7590775,3.666666667,0,36.33333333,4.333333333,74.33333333,AUS.2013,2.04587156,0.119266055,1.083440583
atpta46,Bernard Tomic,3,70.66666667,13.33333333,1.666666667,30,78.33333333,55,43,31.66666667,28.33333333,73.66666667,110.3333333,130.2807863,114.5393877,90.92728967,3.333333333,1.333333333,35.66666667,2,77.66666667,AUS.2013,2.177570093,0.056074766,1.542117009
atpv306,Fernando Verdasco,3,66,4,5.333333333,43.33333333,69.33333333,56.66666667,42.66666667,40.66666667,54.66666667,79.66666667,130,130.9021573,111.225409,96.10538133,4.333333333,0.333333333,40.33333333,6,81,AUS.2013,2.008264463,0.148760331,1.015763547
atpa678,Kevin Anderson,4,74.66666667,12.33333333,2.666666667,36.66666667,76.33333333,50.33333333,49.66666667,37.33333333,39.33333333,57,132.6666667,133.594765,120.1317267,101.0763493,4,0.666666667,40,4,86,AUS.2013,2.15,0.1,1.592995169
atpg628,Richard Gasquet,4,58,12,0.666666667,22.33333333,85,58,44.66666667,45.66666667,48,70,105,128.002426,111.225409,90.720166,3.333333333,0.333333333,30,5.666666667,60.66666667,AUS.2013,2.022222222,0.188888889,2.1996337
atpn552,Kei Nishikori,4,70.33333333,6.333333333,3,38,73.33333333,57,40.66666667,44,50.33333333,79,117,119.5103557,104.390328,85.33495067,3.333333333,1,32.66666667,5.666666667,71.66666667,AUS.2013,2.193877551,0.173469388,1.104972304
atpr975,Milos Raonic,4,64,23.66666667,4,31.33333333,83.66666667,66.33333333,39.66666667,38.33333333,46.66666667,54.5,111.3333333,140.1191605,123.9635145,107.1864975,3.333333333,1,33,3.666666667,70.33333333,AUS.2013,2.131313131,0.111111111,1.765964912
atpsa93,Andreas Seppi,4,59.33333333,10.33333333,4,24.33333333,77.66666667,56.33333333,20.33333333,38,41.33333333,59,142.6666667,121.167345,110.604038,84.506456,4.333333333,1.333333333,44.33333333,5.333333333,93.33333333,AUS.2013,2.105263158,0.120300752,4.904040404
atpsd32,Gilles Simon,4,59.66666667,6.666666667,5.333333333,58,67,57,40,42.33333333,38.33333333,61.66666667,137.6666667,123.4457053,99.41936,80.77823,4.333333333,0.333333333,40.66666667,6,83,AUS.2013,2.040983607,0.147540984,0.733549784
atpt742,Janko Tipsarevic,4,58,14,1.666666667,42.66666667,72.66666667,56.66666667,47.66666667,37.66666667,37.66666667,59,140.3333333,125.1026947,114.332264,87.82043467,4.333333333,0.333333333,43.33333333,4.333333333,86.33333333,AUS.2013,1.992307692,0.1,1.123743152
atpw367,Stanislas Wawrinka,4,56,9,3.333333333,27.66666667,78.66666667,57.33333333,27.33333333,39,36.33333333,77,97,135.1481925,120.2352885,97.8659325,2.666666667,0.666666667,28,3.333333333,62,AUS.2013,2.214285714,0.119047619,1.70609319
atpca12,Jeremy Chardy,5,62.33333333,16,7,37.33333333,82.33333333,47.33333333,48,38.66666667,38.66666667,67,138.3333333,133.9054505,122.7207725,100.040731,4.333333333,1,41,5,89.66666667,AUS.2013,2.18699187,0.12195122,1.65625
atpf324,Roger Federer,5,67,7.666666667,2,26.66666667,82.66666667,57,35.33333333,42,30.66666667,80.66666667,108.6666667,128.4166733,115.3678823,97.14099967,3,0.333333333,28,4,63,AUS.2013,2.25,0.142857143,1.507407407
atpmc10,Andy Murray,5,66.33333333,10.33333333,0.333333333,23,74.33333333,51.33333333,25.66666667,48,57,73.33333333,95.33333333,129.866539,106.6686883,83.47083767,3,0,27.33333333,6.333333333,58.33333333,AUS.2013,2.134146341,0.231707317,1.137205387
atpt786,Jo-Wilfried Tsonga,5,66.66666667,12,2,25,80.33333333,60.66666667,42.33333333,40.66666667,67.66666667,81,94.33333333,135.6660017,118.06049,92.584279,3,0.333333333,28.66666667,4.666666667,62,AUS.2013,2.162790698,0.162790698,1.773148148
atpa479,Nicolas Almagro,5,57.66666667,20.66666667,2.666666667,26.33333333,81.66666667,62.33333333,40.66666667,37.66666667,43,65.66666667,123.6666667,134.4232597,121.167345,93.41277367,3.666666667,1.333333333,37.33333333,5,80.66666667,AUS.2013,2.160714286,0.133928571,1.512643678
atpba47,Tomas Berdych,5,59.33333333,8.333333333,1.666666667,26.66666667,78,62,33.66666667,47,46,65.33333333,100.6666667,132.7662703,118.4747373,93.61989733,3,0,27,5.666666667,57.33333333,AUS.2013,2.12345679,0.209876543,1.414770033
atpd643,Novak Djokovic,5,67.66666667,7.666666667,1,16.66666667,85,76,35,42.33333333,43.33333333,70,99.33333333,126.5525603,116.6106243,96.10538133,3,0,28.33333333,4.333333333,59,AUS.2013,2.082352941,0.152941176,2.108845029
atpf401,David Ferrer,5,64,3.333333333,1.333333333,23.66666667,73.33333333,59.66666667,25.33333333,46,46.66666667,76.66666667,103.3333333,118.8889847,107.7043067,88.44180567,3.333333333,0,30.33333333,6.333333333,59.66666667,AUS.2013,1.967032967,0.208791209,1.157679739
